relationship_id,module,source_node_id,target_node_id,relationship_type,value,units,reference_year,release_year,estimate_period,origin_geography,destination_geography,geographic_scale,source_product,observed_estimated_modeled,source_id,evidence_strength,relationship_basis,confidence,reality_status,canon_status,notes
REL-0001,11A,POP-ZONE-18151,MUNI-1801666,contains_settlement,,,2020,2021,2020-04-01 geography,18151,1600000US1801666,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_in_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0002,11A,POP-ZONE-18033,MUNI-1802674,contains_settlement,,,2020,2021,2020-04-01 geography,18033,1600000US1802674,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_in_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0003,11A,POP-ZONE-18003,MUNI-1825000,contains_settlement,,,2020,2021,2020-04-01 geography,18003,1600000US1825000,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_in_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0004,11A,POP-ZONE-18033,MUNI-1826386,contains_settlement,,,2020,2021,2020-04-01 geography,18033,1600000US1826386,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_in_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0005,11A,POP-ZONE-18003,MUNI-1835266,contains_settlement,,,2020,2021,2020-04-01 geography,18003,1600000US1835266,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_in_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0006,11A,POP-ZONE-18003,MUNI-1852992,contains_settlement,,,2020,2021,2020-04-01 geography,18003,1600000US1852992,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_in_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0007,11A,POP-ZONE-26091,MUNI-2600440,contains_settlement,,,2020,2021,2020-04-01 geography,26091,1600000US2600440,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_mi_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0008,11A,POP-ZONE-26115,MUNI-2623380,contains_settlement,,,2020,2021,2020-04-01 geography,26115,1600000US2623380,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_mi_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0009,11A,POP-ZONE-26115,MUNI-2645420,contains_settlement,,,2020,2021,2020-04-01 geography,26115,1600000US2645420,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_mi_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0010,11A,POP-ZONE-26115,MUNI-2653920,contains_settlement,,,2020,2021,2020-04-01 geography,26115,1600000US2653920,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_mi_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0011,11A,POP-ZONE-26115,MUNI-2655020,contains_settlement,,,2020,2021,2020-04-01 geography,26115,1600000US2655020,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_mi_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0012,11A,POP-ZONE-26115,MUNI-2675140,contains_settlement,,,2020,2021,2020-04-01 geography,26115,1600000US2675140,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_mi_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0013,11A,POP-ZONE-26091,MUNI-2679120,contains_settlement,,,2020,2021,2020-04-01 geography,26091,1600000US2679120,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_mi_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0014,11A,POP-ZONE-26115,MUNI-2679240,contains_settlement,,,2020,2021,2020-04-01 geography,26115,1600000US2679240,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_mi_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
REL-0015,11A,POP-ZONE-39173,MUNI-3907972,contains_settlement,,,2020,2021,2020-04-01 geography,39173,1600000US3907972,county/place,2020 Census TIGER/PL geography,observed,s11a_decennial_oh_pl,high,point-in-county geographic containment,high,real,verified,Containment does not mean municipal residents equal county total.
