MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20260825,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-08-25,2026-08-31,1
20260818,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-08-18,2026-08-24,1
20260811,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-08-11,2026-08-17,1
20260804,39095,Lucas County,OH,88.05,11.95,0.00,0.00,0.00,0.00,2026-08-04,2026-08-10,1
20260728,39095,Lucas County,OH,88.05,11.95,0.00,0.00,0.00,0.00,2026-07-28,2026-08-03,1
20260721,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-07-21,2026-07-27,1
20260714,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-07-14,2026-07-20,1
20260707,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-07-07,2026-07-13,1
20260630,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-06-30,2026-07-06,1
20260623,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-06-23,2026-06-29,1
20260616,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-06-16,2026-06-22,1
20260609,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-06-09,2026-06-15,1
20260602,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-06-02,2026-06-08,1
20260526,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-05-26,2026-06-01,1
20260519,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-05-19,2026-05-25,1
20260512,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-05-12,2026-05-18,1
20260505,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-05-05,2026-05-11,1
20260428,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-04-28,2026-05-04,1
20260421,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-04-21,2026-04-27,1
20260414,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-04-14,2026-04-20,1
20260407,39095,Lucas County,OH,100.00,0.00,0.00,0.00,0.00,0.00,2026-04-07,2026-04-13,1
20260331,39095,Lucas County,OH,0.00,100.00,3.71,0.00,0.00,0.00,2026-03-31,2026-04-06,1
20260324,39095,Lucas County,OH,0.00,100.00,62.83,2.64,0.00,0.00,2026-03-24,2026-03-30,1
20260317,39095,Lucas County,OH,0.00,100.00,98.48,50.40,0.00,0.00,2026-03-17,2026-03-23,1
20260310,39095,Lucas County,OH,0.00,100.00,100.00,98.31,50.40,0.00,2026-03-10,2026-03-16,1
20260303,39095,Lucas County,OH,0.00,100.00,100.00,98.31,50.40,0.00,2026-03-03,2026-03-09,1
20260224,39095,Lucas County,OH,0.00,100.00,100.00,98.31,50.40,0.00,2026-02-24,2026-03-02,1
20260217,39095,Lucas County,OH,0.00,100.00,100.00,98.31,50.40,0.00,2026-02-17,2026-02-23,1
20260210,39095,Lucas County,OH,0.00,100.00,100.00,98.31,50.40,0.00,2026-02-10,2026-02-16,1
20260203,39095,Lucas County,OH,0.00,100.00,100.00,98.31,50.40,0.00,2026-02-03,2026-02-09,1
20260127,39095,Lucas County,OH,0.00,100.00,100.00,98.31,50.40,0.00,2026-01-27,2026-02-02,1
20260120,39095,Lucas County,OH,0.00,100.00,100.00,98.31,50.40,0.00,2026-01-20,2026-01-26,1
20260113,39095,Lucas County,OH,0.00,100.00,100.00,98.31,50.40,0.00,2026-01-13,2026-01-19,1
20260106,39095,Lucas County,OH,0.00,100.00,100.00,98.31,50.40,0.00,2026-01-06,2026-01-12,1
20251230,39095,Lucas County,OH,0.00,100.00,100.00,98.31,50.40,0.00,2025-12-30,2026-01-05,1
