State,County,FIPS,MapDate,DSCI
OH,Lucas County,39095,20241231,100
OH,Lucas County,39095,20250107,83
OH,Lucas County,39095,20250114,83
OH,Lucas County,39095,20250121,83
OH,Lucas County,39095,20250128,83
OH,Lucas County,39095,20250204,83
OH,Lucas County,39095,20250211,83
OH,Lucas County,39095,20250218,83
OH,Lucas County,39095,20250225,83
OH,Lucas County,39095,20250304,83
OH,Lucas County,39095,20250311,100
OH,Lucas County,39095,20250318,100
OH,Lucas County,39095,20250325,100
OH,Lucas County,39095,20250401,100
OH,Lucas County,39095,20250408,0
OH,Lucas County,39095,20250415,0
OH,Lucas County,39095,20250422,0
OH,Lucas County,39095,20250429,0
OH,Lucas County,39095,20250506,0
OH,Lucas County,39095,20250513,0
OH,Lucas County,39095,20250520,0
OH,Lucas County,39095,20250527,0
OH,Lucas County,39095,20250603,0
OH,Lucas County,39095,20250610,0
OH,Lucas County,39095,20250617,0
OH,Lucas County,39095,20250624,0
OH,Lucas County,39095,20250701,0
OH,Lucas County,39095,20250708,0
OH,Lucas County,39095,20250715,0
OH,Lucas County,39095,20250722,0
OH,Lucas County,39095,20250729,0
OH,Lucas County,39095,20250805,0
OH,Lucas County,39095,20250812,0
OH,Lucas County,39095,20250819,41
OH,Lucas County,39095,20250826,66
OH,Lucas County,39095,20250902,122
OH,Lucas County,39095,20250909,141
OH,Lucas County,39095,20250916,228
OH,Lucas County,39095,20250923,282
OH,Lucas County,39095,20250930,256
OH,Lucas County,39095,20251007,279
OH,Lucas County,39095,20251014,339
OH,Lucas County,39095,20251021,339
OH,Lucas County,39095,20251028,349
OH,Lucas County,39095,20251104,349
OH,Lucas County,39095,20251111,349
OH,Lucas County,39095,20251118,349
OH,Lucas County,39095,20251125,349
OH,Lucas County,39095,20251202,349
OH,Lucas County,39095,20251209,349
OH,Lucas County,39095,20251216,349
OH,Lucas County,39095,20251223,349
OH,Lucas County,39095,20251230,349
OH,Lucas County,39095,20260106,349
OH,Lucas County,39095,20260113,349
OH,Lucas County,39095,20260120,349
OH,Lucas County,39095,20260127,349
OH,Lucas County,39095,20260203,349
OH,Lucas County,39095,20260210,349
OH,Lucas County,39095,20260217,349
OH,Lucas County,39095,20260224,349
OH,Lucas County,39095,20260303,349
OH,Lucas County,39095,20260310,349
OH,Lucas County,39095,20260317,249
OH,Lucas County,39095,20260324,165
OH,Lucas County,39095,20260331,104
OH,Lucas County,39095,20260407,0
OH,Lucas County,39095,20260414,0
OH,Lucas County,39095,20260421,0
OH,Lucas County,39095,20260428,0
OH,Lucas County,39095,20260505,0
OH,Lucas County,39095,20260512,0
OH,Lucas County,39095,20260519,0
OH,Lucas County,39095,20260526,0
OH,Lucas County,39095,20260602,0
OH,Lucas County,39095,20260609,0
OH,Lucas County,39095,20260616,0
OH,Lucas County,39095,20260623,0
OH,Lucas County,39095,20260630,0
OH,Lucas County,39095,20260707,0
OH,Lucas County,39095,20260714,0
OH,Lucas County,39095,20260721,0
OH,Lucas County,39095,20260728,12
OH,Lucas County,39095,20260804,12
OH,Lucas County,39095,20260811,0
OH,Lucas County,39095,20260818,0
OH,Lucas County,39095,20260825,0
