ID,STATUS,OWNER,VOLTAGE,VOLT_CLASS,INFERRED,SUB_1,SUB_2
115933,IN SERVICE,"AMERICAN ELECTRIC POWER CO., INC",345,345,N,FOSTORIA CENTRAL SUBSTATION,SOUTH BERWICK
106454,IN SERVICE,NOT AVAILABLE,345,345,N,MILAN,MAJESTIC
105659,IN SERVICE,"AMERICAN TRANSMISSION SYSTEMS, INC.",345,345,N,UNKNOWN133807,UNKNOWN171366
124757,IN SERVICE,"AMERICAN TRANSMISSION SYSTEMS, INC.",345,345,N,UNKNOWN113830,LEMOYNE
100960,IN SERVICE,WYANDOTTE MUNICIPAL SERV COMM,345,345,Y,TAP137301,WAYNE
173696,IN SERVICE,"AMERICAN TRANSMISSION SYSTEMS, INC.",345,345,Y,UNKNOWN156850,UNKNOWN171366
180438,IN SERVICE,CONSUMERS ENERGY CO,345,345,N,UNKNOWN113613,UNKNOWN177246
167952,IN SERVICE,CONSUMERS ENERGY CO,345,345,N,TAP137284,MOROCCO
106249,IN SERVICE,"AMERICAN ELECTRIC POWER CO., INC",345,345,N,FOSTORIA CENTRAL SUBSTATION,EAST LIMA SUBSTATION
122041,IN SERVICE,NOT AVAILABLE,345,345,N,UNKNOWN128955,BROWNSTOWN
121365,IN SERVICE,NOT AVAILABLE,345,345,N,MONROE (MI),BROWNSTOWN
159643,IN SERVICE,NOT AVAILABLE,345,345,N,BEAVER,UNKNOWN158972
103603,IN SERVICE,"AMERICAN TRANSMISSION SYSTEMS, INC.",345,345,Y,UNKNOWN113650,ALLEN JUNCTION
179683,IN SERVICE,NOT AVAILABLE,345,345,Y,UNKNOWN177214,UNKNOWN177246
148726,IN SERVICE,CONSUMERS ENERGY CO,345,345,Y,UNKNOWN128355,TAP137300
174878,IN SERVICE,CONSUMERS ENERGY CO,345,345,N,ALLEN JUNCTION,MOROCCO
107264,IN SERVICE,"AMERICAN TRANSMISSION SYSTEMS, INC.",345,345,N,UNKNOWN113830,DAVIS-BESSE
106628,IN SERVICE,NOT AVAILABLE,345,345,N,MILAN,MAJESTIC
131497,IN SERVICE,CONSUMERS ENERGY CO,345,345,N,TAP137285,MILAN
128765,IN SERVICE,CONSUMERS ENERGY CO,345,345,N,UNKNOWN128355,TAP137285
140422,IN SERVICE,CONSUMERS ENERGY CO,345,345,N,TAP137284,TAP137286
111481,IN SERVICE,WYANDOTTE MUNICIPAL SERV COMM,345,345,N,BROWNSTOWN,WAYNE
156349,IN SERVICE,"AMERICAN TRANSMISSION SYSTEMS, INC.",345,345,N,LEMOYNE,UNKNOWN156850
137927,IN SERVICE,NOT AVAILABLE,345,345,Y,TAP137300,TAP137301
120274,IN SERVICE,NOT AVAILABLE,345,345,N,UNKNOWN128955,BROWNSTOWN
131508,IN SERVICE,WYANDOTTE MUNICIPAL SERV COMM,345,345,N,BROWNSTOWN,WAYNE
159617,IN SERVICE,NOT AVAILABLE,345,345,N,DAVIS-BESSE,UNKNOWN158972
180282,IN SERVICE,CONSUMERS ENERGY CO,345,345,N,TAP137286,UNKNOWN177246
146746,IN SERVICE,CONSUMERS ENERGY CO,345,345,N,TAP137285,LEMOYNE
135886,IN SERVICE,OHIO POWER CO,345,345,N,FOSTORIA CENTRAL SUBSTATION,LEMOYNE
130743,IN SERVICE,WYANDOTTE MUNICIPAL SERV COMM,230,220-287,Y,UNKNOWN128433,BROWNSTOWN
113910,IN SERVICE,NOT AVAILABLE,345,345,N,TAP137284,MILAN
149645,IN SERVICE,NOT AVAILABLE,345,345,N,UNKNOWN113613,DAVIS-BESSE
173695,IN SERVICE,"AMERICAN TRANSMISSION SYSTEMS, INC.",345,345,Y,UNKNOWN113650,LEMOYNE
111884,IN SERVICE,"AMERICAN TRANSMISSION SYSTEMS, INC.",345,345,Y,ALLEN JUNCTION,UNKNOWN171366
148530,IN SERVICE,CONSUMERS ENERGY CO,345,345,N,MONROE (MI),TAP137286
179241,IN SERVICE,"AMERICAN TRANSMISSION SYSTEMS, INC.",345,345,N,FOSTORIA CENTRAL SUBSTATION,UNKNOWN177246
180667,IN SERVICE,"AMERICAN TRANSMISSION SYSTEMS, INC.",345,345,N,UNKNOWN113613,UNKNOWN177246
147028,IN SERVICE,CONSUMERS ENERGY CO,345,345,Y,UNKNOWN128355,WAYNE
117396,IN SERVICE,NOT AVAILABLE,345,345,Y,TROY ENERGY LLC,LEMOYNE
145017,IN SERVICE,NOT AVAILABLE,345,345,N,MONROE (MI),BROWNSTOWN
103135,IN SERVICE,WYANDOTTE MUNICIPAL SERV COMM,345,345,Y,TAP137301,DEADEND167212
179730,IN SERVICE,WYANDOTTE MUNICIPAL SERV COMM,230,220-287,Y,UNKNOWN128336,UNKNOWN176778
